Name,Country1,Country2,Country3,Country4,Country5,Country6,Language1,Language2,Language3,Language4,Language5,Language6,Gross_revenue,Production1,Production2,Production3,Runtime,Rating,Genre1,Genre2,Genre3,Nums_score,Nums_review,Nums_critic,Story,Director1,Director2,Writer1,Writer2,Star1,Star2,Star3
The Shawshank Redemption,USA,,,,,,English,,,,,,28786657,Castle Rock Entertainment,,,142,R,Drama,,,2236965,7738,225,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,,Stephen King, Frank Darabont,Tim Robbins, Morgan Freeman, Bob Gunton
The Godfather,USA,,,,,,English, Italian, Latin,,,,246120974,Paramount Pictures, Alfran Productions,,175,R,Crime, Drama,,1542452,3726,248,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,,Mario Puzo, Francis Ford Coppola,Marlon Brando, Al Pacino, James Caan
The Godfather: Part II,USA,,,,,,English, Italian, Spanish, Latin, Sicilian,,48035783,Paramount Pictures, The Coppola Company, American Zoetrope,202,R,Crime, Drama,,1078827,964,176,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,,Francis Ford Coppola, Mario Puzo,Al Pacino, Robert De Niro, Robert Duvall
The Dark Knight,USA, UK,,,,,English, Mandarin,,,,,1004934033,Warner Bros., Legendary Entertainment, Syncopy,152,PG-13,Action, Crime, Drama,2207569,6697,421,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,,Jonathan Nolan, Christopher Nolan,Christian Bale, Heath Ledger, Aaron Eckhart
12 Angry Men,USA,,,,,,English,,,,,,576,Orion-Nova Productions,,,96,Approved,Crime, Drama,,654121,1511,140,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,,Reginald Rose, Reginald Rose,Henry Fonda, Lee J. Cobb, Martin Balsam
Schindler's List,USA,,,,,,Latin, English, Hebrew, German, Polish,,322287794,Universal Pictures, Amblin Entertainment,,195,R,Biography, Drama, History,1163376,1758,225,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,,Thomas Keneally, Steven Zaillian,Liam Neeson, Ralph Fiennes, Ben Kingsley
The Lord of the Rings: The Return of the King,New Zealand, USA,,,,,English, Quenya, Old English, Sindarin,,,1142219401,New Line Cinema, WingNut Films, The Saul Zaentz Company,201,PG-13,Adventure, Drama, Fantasy,1582258,3638,351,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,,J.R.R. Tolkien, Fran Walsh,Elijah Wood, Viggo Mortensen, Ian McKellen
Pulp Fiction,USA,,,,,,English, Spanish, French,,,,214179088,Miramax, A Band Apart, Jersey Films,154,R,Crime, Drama,,1752908,2932,285,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,,Quentin Tarantino, Roger Avary,John Travolta, Uma Thurman, Samuel L. Jackson
"The Good, the Bad and the Ugly",Italy, Spain, West Germany,,,,Italian,,,,,,25252481,Produzioni Europee Associate (PEA), Arturo González Producciones Cinematográficas, Constantin Film,161,R,Western,,,660990,1068,206,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,,Luciano Vincenzoni, Sergio Leone,Clint Eastwood, Eli Wallach, Lee Van Cleef
The Lord of the Rings: The Fellowship of the Ring,New Zealand, USA,,,,,English, Sindarin,,,,,887832826,New Line Cinema, WingNut Films, The Saul Zaentz Company,178,PG-13,Action, Adventure, Drama,1595452,5329,334,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,,J.R.R. Tolkien, Fran Walsh,Elijah Wood, Ian McKellen, Orlando Bloom
Fight Club,USA, Germany,,,,,English,,,,,,101187503,Fox 2000 Pictures, Regency Enterprises, Linson Films,139,R,Drama,,,1780595,3651,370,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,,Chuck Palahniuk, Jim Uhls,Brad Pitt, Edward Norton, Meat Loaf
Forrest Gump,USA,,,,,,English,,,,,,678222284,Paramount Pictures,,,142,PG-13,Drama, Romance,,1724781,2260,166,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,,Winston Groom, Eric Roth,Tom Hanks, Robin Wright, Gary Sinise
Inception,USA, UK,,,,,English, Japanese, French,,,,829895144,Warner Bros., Legendary Entertainment, Syncopy,148,PG-13,Action, Adventure, Sci-Fi,1961204,3696,452,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Christopher Nolan,,Christopher Nolan,,Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page
Star Wars: Episode V - The Empire Strikes Back,USA,,,,,,English,,,,,,547897454,Lucasfilm,,,124,PG,Action, Adventure, Fantasy,1116525,1191,217,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,,Leigh Brackett, Lawrence Kasdan,Mark Hamill, Harrison Ford, Carrie Fisher
The Lord of the Rings: The Two Towers,New Zealand, USA,,,,,English, Sindarin, Old English,,,,951208089,New Line Cinema, WingNut Films, The Saul Zaentz Company,179,PG-13,Adventure, Drama, Fantasy,1429333,2531,321,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,,J.R.R. Tolkien, Fran Walsh,Elijah Wood, Ian McKellen, Viggo Mortensen
The Matrix,USA,,,,,,English,,,,,,465343787,Warner Bros., Village Roadshow Pictures, Groucho Film Partnership,136,R,Action, Sci-Fi,,1605645,4207,340,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,Lana Wachowski, Lilly Wachowski,Lilly Wachowski, Lana Wachowski,Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss
Goodfellas,USA,,,,,,English, Italian,,,,,46879633,Warner Bros.,,,146,R,Biography, Crime, Drama,973192,1251,143,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,,Nicholas Pileggi, Nicholas Pileggi,Robert De Niro, Ray Liotta, Joe Pesci
One Flew Over the Cuckoo's Nest,USA,,,,,,English,,,,,,108997629,Fantasy Films,,,133,R,Drama,,,878172,945,170,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,,Lawrence Hauben, Bo Goldman,Jack Nicholson, Louise Fletcher, Will Sampson
Seven Samurai,Japan,,,,,,Japanese,,,,,,322773,Toho Company,,,207,Not Rated,Action, Adventure, Drama,302161,695,127,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,,Akira Kurosawa, Shinobu Hashimoto,Toshirô Mifune, Takashi Shimura, Keiko Tsushima
Se7en,USA,,,,,,English,,,,,,327333559,Cecchi Gori Pictures, Juno Pix, New Line Cinema,127,R,Crime, Drama, Mystery,1376999,1407,225,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,,Andrew Kevin Walker,,Morgan Freeman, Brad Pitt, Kevin Spacey
Life Is Beautiful,Italy,,,,,,Italian, German, English,,,,230098753,Melampo Cinematografica, Cecchi Gori Group Tiger Cinematografica,,116,PG-13,Comedy, Drama, Romance,594684,1279,164,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,,Vincenzo Cerami, Roberto Benigni,Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini
City of God,Brazil, France, Germany,,,,Portuguese,,,,,,30680793,O2 Filmes, VideoFilmes, Globo Filmes,130,R,Crime, Drama,,677200,986,224,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles, Kátia Lund,Paulo Lins, Bráulio Mantovani,Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele
The Silence of the Lambs,USA,,,,,,English, Latin,,,,,272753884,Strong Heart/Demme Production, Orion Pictures,,118,R,Crime, Drama, Thriller,1211587,1236,218,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,,Thomas Harris, Ted Tally,Jodie Foster, Anthony Hopkins, Lawrence A. Bonney
It's a Wonderful Life,USA,,,,,,English, French,,,,,6130720,Liberty Films (II),,,130,Passed,Drama, Family, Fantasy,382165,926,176,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,,Frances Goodrich, Albert Hackett,James Stewart, Donna Reed, Lionel Barrymore
Star Wars: Episode IV - A New Hope,USA,,,,,,English,,,,,,775512064,Lucasfilm, Twentieth Century Fox,,121,PG,Action, Adventure, Fantasy,1188681,1805,185,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,,George Lucas,,Mark Hamill, Harrison Ford, Carrie Fisher
Saving Private Ryan,USA,,,,,,English, French, German, Czech,,,482349603,DreamWorks, Paramount Pictures, Amblin Entertainment,169,R,Drama, War,,1183696,2550,264,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,,Robert Rodat,,Tom Hanks, Matt Damon, Tom Sizemore
Parasite,South Korea,,,,,,Korean, English,,,,,254620147,Barunson E&A, CJ E&M Film Financing & Investment Entertainment & Comics, CJ Entertainment,132,R,Comedy, Drama, Thriller,400390,2355,505,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,,Bong Joon Ho, Bong Joon Ho,Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo
Spirited Away,Japan,,,,,,Japanese,,,,,,347742810,Tokuma Shoten, Studio Ghibli, Nippon Television Network (NTV),125,PG,Animation, Adventure, Family,609169,1223,286,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,,Hayao Miyazaki,,Daveigh Chase, Suzanne Pleshette, Miyu Irino
The Green Mile,USA,,,,,,English, French,,,,,286801374,Castle Rock Entertainment, Darkwoods Productions, Warner Bros.,189,R,Crime, Drama, Fantasy,1090996,1685,203,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,,Stephen King, Frank Darabont,Tom Hanks, Michael Clarke Duncan, David Morse
Interstellar,USA, UK, Canada,,,,English,,,,,,677471339,Paramount Pictures, Warner Bros., Legendary Entertainment,169,PG-13,Adventure, Drama, Sci-Fi,1412083,3869,617,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,,Jonathan Nolan, Christopher Nolan,Matthew McConaughey, Anne Hathaway, Jessica Chastain
Léon: The Professional,France, USA,,,,,English, Italian, French,,,,19501238,Gaumont, Les Films du Dauphin, Columbia Pictures,110,R,Action, Crime, Drama,990412,1148,135,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,,Luc Besson,,Jean Reno, Gary Oldman, Natalie Portman
The Usual Suspects,USA, Germany,,,,,English, Hungarian, Spanish, French,,,23341568,PolyGram Filmed Entertainment, Spelling Films International, Blue Parrot,106,R,Crime, Mystery, Thriller,954356,1328,145,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,,Christopher McQuarrie,,Kevin Spacey, Gabriel Byrne, Chazz Palminteri
Harakiri,Japan,,,,,,Japanese,,,,,,15222,Shochiku,,,133,Not Rated,Action, Drama, History,33711,243,74,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,,Yasuhiko Takiguchi, Shinobu Hashimoto,Tatsuya Nakadai, Akira Ishihama, Shima Iwashita
The Lion King,USA,,,,,,English, Swahili, Xhosa, Zulu,,,968511805,Walt Disney Pictures, Walt Disney Animation Studios,,88,G,Animation, Adventure, Drama,902431,979,227,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",Roger Allers, Rob Minkoff,Irene Mecchi, Jonathan Roberts,Matthew Broderick, Jeremy Irons, James Earl Jones
American History X,USA,,,,,,English,,,,,,23875127,New Line Cinema, Savoy Pictures, The Turman-Morrissey Company,119,R,Drama,,,1000588,1567,169,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,,David McKenna,,Edward Norton, Edward Furlong, Beverly D'Angelo
The Pianist,UK, France, Poland, Germany,,,English, German, Russian,,,,120072577,R.P. Productions, Heritage Films, Studio Babelsberg,150,R,Biography, Drama, Music,693935,890,152,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,,Ronald Harwood, Wladyslaw Szpilman,Adrien Brody, Thomas Kretschmann, Frank Finlay
Terminator 2: Judgment Day,USA,,,,,,English, Spanish,,,,,520884847,Carolco Pictures, Pacific Western, Lightstorm Entertainment,137,R,Action, Sci-Fi,,961711,1242,292,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,,James Cameron, William Wisher,Arnold Schwarzenegger, Linda Hamilton, Edward Furlong
Back to the Future,USA,,,,,,English,,,,,,388355305,Universal Pictures, Amblin Entertainment, U-Drive Productions,116,PG,Adventure, Comedy, Sci-Fi,999469,1130,239,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,,Robert Zemeckis, Bob Gale,Michael J. Fox, Christopher Lloyd, Lea Thompson
Modern Times,USA,,,,,,English,,,,,,457688,Charles Chaplin Productions,,,87,G,Comedy, Drama, Family,206484,291,111,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,,Charles Chaplin,,Charles Chaplin, Paulette Goddard, Henry Bergman
Psycho,USA,,,,,,English,,,,,,32000000,Shamley Productions,,,109,R,Horror, Mystery, Thriller,574043,1243,223,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,,Joseph Stefano, Robert Bloch,Anthony Perkins, Janet Leigh, Vera Miles
Gladiator,USA, UK, Malta, Morocco,,,English,,,,,,460583960,DreamWorks, Universal Pictures, Scott Free Productions,155,R,Action, Adventure, Drama,1287138,2605,205,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,,David Franzoni, David Franzoni,Russell Crowe, Joaquin Phoenix, Connie Nielsen
City Lights,USA,,,,,,English,,,,,,46008,Charles Chaplin Productions,,,87,G,Comedy, Drama, Romance,158842,286,122,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,,Charles Chaplin,,Charles Chaplin, Virginia Cherrill, Florence Lee
The Departed,USA,,,,,,English, Cantonese,,,,,291465034,Warner Bros., Plan B Entertainment, Initial Entertainment Group (IEG),151,R,Crime, Drama, Thriller,1140933,2287,288,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,,William Monahan, Alan Mak,Leonardo DiCaprio, Matt Damon, Jack Nicholson
The Intouchables,France,,,,,,French, English,,,,,426588510,Quad Productions, Ten Films, Canal+,112,R,Biography, Comedy, Drama,724822,596,322,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache, Éric Toledano,Olivier Nakache, Philippe Pozzo di Borgo,François Cluzet, Omar Sy, Anne Le Ny
Whiplash,USA,,,,,,English,,,,,,48982041,Bold Films, Blumhouse Productions, Right of Way Films,106,R,Drama, Music,,674422,1154,577,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,,Damien Chazelle,,Miles Teller, J.K. Simmons, Melissa Benoist
The Prestige,UK, USA,,,,,English,,,,,,109676311,Touchstone Pictures, Warner Bros., Newmarket Productions,130,PG-13,Drama, Mystery, Sci-Fi,1133445,1354,371,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,,Jonathan Nolan, Christopher Nolan,Christian Bale, Hugh Jackman, Scarlett Johansson
Once Upon a Time in the West,Italy, USA,,,,,Italian, English, Spanish,,,,112229,Rafran Cinematografica, San Marco, Paramount Pictures,165,PG-13,Western,,,289290,686,141,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,,Sergio Donati, Sergio Leone,Henry Fonda, Charles Bronson, Claudia Cardinale
Grave of the Fireflies,Japan,,,,,,Japanese,,,,,,516962,Shinchosha Company, Studio Ghibli,,89,Not Rated,Animation, Drama, War,218268,685,123,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,,Akiyuki Nosaka, Isao Takahata,Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi
Casablanca,USA,,,,,,English, French, German, Italian,,,4374761,Warner Bros.,,,102,PG,Drama, Romance, War,501886,1279,193,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Michael Curtiz,,Julius J. Epstein, Philip G. Epstein,Humphrey Bogart, Ingrid Bergman, Paul Henreid
Cinema Paradiso,Italy, France,,,,,Italian,,,,,,12887661,Cristaldifilm, Les Films Ariane, Rai 3,155,R,Drama,,,217209,496,110,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,,Giuseppe Tornatore, Giuseppe Tornatore,Philippe Noiret, Enzo Cannavale, Antonella Attili
Rear Window,USA,,,,,,English,,,,,,37032034,Alfred J. Hitchcock Productions,,,112,PG,Mystery, Thriller,,424370,821,151,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Alfred Hitchcock,,John Michael Hayes, Cornell Woolrich,James Stewart, Grace Kelly, Wendell Corey
Joker,USA, Canada,,,,,English,,,,,,1074251311,Warner Bros., Village Roadshow Pictures, BRON Studios,122,R,Crime, Drama, Thriller,782577,10004,674,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,,Todd Phillips, Scott Silver,Joaquin Phoenix, Robert De Niro, Zazie Beetz
Alien,UK, USA,,,,,English,,,,,,108283202,Brandywine Productions, Twentieth Century-Fox Productions,,117,R,Horror, Sci-Fi,,755640,1406,460,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Ridley Scott,,Dan O'Bannon, Dan O'Bannon,Sigourney Weaver, Tom Skerritt, John Hurt
Apocalypse Now,USA,,,,,,English, French, Vietnamese,,,,91968688,American Zoetrope, Zoetrope Studios,,147,R,Drama, Mystery, War,580689,1168,320,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,,John Milius, Francis Ford Coppola,Martin Sheen, Marlon Brando, Robert Duvall
Memento,USA,,,,,,English,,,,,,39723096,Newmarket Capital Group, Team Todd, I Remember Productions,113,R,Mystery, Thriller,,1081783,2229,207,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,,Christopher Nolan, Jonathan Nolan,Guy Pearce, Carrie-Anne Moss, Joe Pantoliano
Raiders of the Lost Ark,USA,,,,,,English, German, Hebrew, Spanish, Arabic, Nepali,390133212,Paramount Pictures, Lucasfilm,,115,PG,Action, Adventure,,852874,915,253,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg,,Lawrence Kasdan, George Lucas,Harrison Ford, Karen Allen, Paul Freeman
The Great Dictator,USA,,,,,,English, Esperanto,,,,,969879,Charles Chaplin Productions, One Production Company,,125,Passed,Comedy, Drama, War,193330,255,138,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,,Charles Chaplin,,Charles Chaplin, Paulette Goddard, Jack Oakie
The Lives of Others,Germany, France,,,,,German,,,,,,77356942,Wiedemann & Berg Filmproduktion, Bayerischer Rundfunk (BR), ARTE,137,R,Drama, Mystery, Thriller,343536,496,222,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,,Florian Henckel von Donnersmarck,,Ulrich Mühe, Martina Gedeck, Sebastian Koch
Django Unchained,USA,,,,,,English, German, French, Italian,,,425368238,The Weinstein Company, Columbia Pictures,,165,R,Drama, Western,,1294056,1485,834,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,,Quentin Tarantino,,Jamie Foxx, Christoph Waltz, Leonardo DiCaprio
Paths of Glory,USA,,,,,,English, German, Latin,,,,5252,Bryna Productions,,,88,Approved,Drama, War,,168526,421,159,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,,Stanley Kubrick, Calder Willingham,Kirk Douglas, Ralph Meeker, Adolphe Menjou
